 |C  |C  |C  |C  |C  |C  |C  |C  |C  |C  |   |C  |C  |C  |C  | states> A: Waiting[0], B: Waiting[0], C: Active[27], 
 |C  |C  |C  |C  |C  |C  |C  |C  |C  |   |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Waiting[0], C: Active[26], 
 |C  |C  |C  |C  |C  |C  |C  |C  |   |C  |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Waiting[0], C: Active[25], 
 |C  |C  |C  |C  |C  |C  |C  |   |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Waiting[0], C: Active[24], 
 |C  |C  |C  |C  |C  |C  |   |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Waiting[0], C: Active[23], 
 |C  |C  |C  |C  |C  |B  |C  |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Active[30], C: Active[22], 
 |C  |C  |C  |C  |B  |C# |BC |C  |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Collided[29], C: Active[21], 
 |C  |C  |C  |B  |C# |C# |#C |BC |C  |C  |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Collided[28], C: Active[20], 
 |C  |C  |B  |C# |C# |C# |#C |#C |BC |C  |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Collided[27], C: Active[19], 
 |C  |B  |C# |C# |C# |C# |#C |#C |#C |BC |C  |C  |C  |C  |C  | states> A: Waiting[0], B: Collided[26], C: Active[18], 
 |B  |C# |C# |C# |C# |C# |#C |#C |#C |#C |BC |C  |C  |C  |C  | states> A: Waiting[0], B: Collided[25], C: Active[17], 
 |C# |C# |C# |C# |C# |C# |#C |#C |#C |#C |#C |BC |C  |C  |C  | states> A: Waiting[0], B: Collided[24], C: Active[16], 
 |C# |C# |C# |C# |C# |C# |#C |#C |#C |#C |#C |#C |BC |C  |C  | states> A: Waiting[0], B: Collided[23], C: Active[15], 
 |C# |C# |C# |C# |C# |C# |#C |#C |#C |#C |#C |#C |#C |BC |C  | states> A: Waiting[0], B: Collided[22], C: Active[14], 
 |C# |C# |C# |C# |C# |C# |#C |#C |#C |#C |#C |#C |#C |#C |B# | states> A: Waiting[0], B: Collided[21], C: Collided[29], 
 |C# |C# |C# |C# |C# |C# |#C |#C |#C |#C |#C |#C |#C |## |## | states> A: Waiting[0], B: Collided[20], C: Collided[28], 
 |C# |C# |C# |C# |C# |C# |#C |#C |#C |#C |#C |#C |## |## |## | states> A: Waiting[0], B: Collided[19], C: Collided[27], 
 |C# |C# |C# |C# |C# |C# |#C |#C |#C |#C |#C |## |## |## |## | states> A: Waiting[0], B: Collided[18], C: Collided[26], 
 |C# |C# |C# |C# |C# |C# |#C |#C |#C |#C |## |## |## |## |## | states> A: Waiting[0], B: Collided[17], C: Collided[25], 
 |C# |C# |C# |C# |C# |C# |#C |#C |#C |## |## |## |## |## |## | states> A: Waiting[0], B: Collided[16], C: Collided[24], 
 |C# |C# |C# |C# |C# |C# |#C |#C |## |## |## |## |## |## |## | states> A: Waiting[0], B: Collided[15], C: Collided[23], 
 |C# |C# |C# |C# |C# |C# |#C |## |## |## |## |## |## |## |## | states> A: Waiting[0], B: Collided[14], C: Collided[22], 
 |C# |C# |C# |C# |C# |C# |## |## |## |## |## |## |## |## |## | states> A: Waiting[0], B: Collided[13], C: Collided[21], 
 |C# |C# |C# |C# |C# |## |## |## |## |## |## |## |## |## |## | states> A: Waiting[0], B: Collided[12], C: Collided[20], 
 |C# |C# |C# |C# |## |## |## |## |## |## |## |## |## |## |## | states> A: Waiting[0], B: Collided[11], C: Collided[19], 
 |C# |C# |C# |## |## |## |## |## |## |## |## |## |## |## |## | states> A: Waiting[0], B: Collided[10], C: Collided[18], 
 |C# |C# |## |## |## |## |## |## |## |## |## |## |## |## |## | states> A: Waiting[0], B: Collided[9], C: Collided[17], 
